Guns n' roses, Live ?!*@ Like a Suicide, IMG-20241028-WA0020.jpg,  IMG-20241028-WA0021.jpg, 1986, Hard Rock, EUA
SP Metal Vol. 2, SP Metal Vol. 2, IMG-20241028-WA0022.jpg,  IMG-20241028-WA0023.jpg, 1988, Heavy Metal / Rock, Brasil
A-ha, Burning high and low, IMG-20241028-WA0024.jpg,  IMG-20241028-WA0025.jpg, 1999, Pop / Synthpop, Noruega
David Bowie, Labyrinth, IMG-20241028-WA0030.jpg,  IMG-20241028-WA0031.jpg, 1986, Rock / Pop, Reino Unido
Nazareth, Bazamanaz, IMG-20241028-WA0033.jpg,  IMG-20241028-WA0035.jpg, 1973, Rock, Escócia
Venom, Welcome to hell, IMG-20241028-WA0037.jpg,  IMG-20241028-WA0039.jpg, 1981, Black Metal, Reino Unido
Judas Priest, Unleashed in the east, IMG-20241028-WA0041.jpg,  IMG-20241028-WA0043.jpg, 1979, Heavy Metal, Reino Unido
Saxon, Crusader, IMG-20241028-WA0045.jpg,  IMG-20241028-WA0049.jpg, 1984, Heavy Metal, Reino Unido
Van halen, 1984, IMG-20241028-WA0050.jpg,  IMG-20241028-WA0056.jpg, 1984, Hard Rock, EUA
Running wild, Gates to purgatory, IMG-20241028-WA0052.jpg,  IMG-20241028-WA0054.jpg, 1985, Heavy Metal, Alemanha
Accept, Kaizoku-ban, IMG-20241028-WA0059.jpg,  IMG-20241028-WA0061.jpg, 1995, Heavy Metal, Alemanha
The alan parsons project, Vulture culture, IMG-20241028-WA0064.jpg,  IMG-20241028-WA0065.jpg, 1984, Progressive Rock, Reino Unido
Bagga's guru, Pirata, IMG-20241028-WA0068.jpg,  IMG-20241028-WA0069.jpg, 1995, Rock, Brasil
Abba, Golden Hits, IMG-20241028-WA0072.jpg,  IMG-20241028-WA0073.jpg, 1976, Pop, Suécia
12 super tops, 12 super tops, IMG-20241028-WA0076.jpg,  IMG-20241028-WA0077.jpg, 1990, Compilação / Vários Gêneros, Brasil
